code,code_name,code_short
sh.600398,海澜之家,600398
sh.600399,抚顺特钢,600399
sh.600400,红豆股份,600400
sh.600401,退市海润,600401
sh.600403,大有能源,600403
sh.600405,动力源,600405
sh.600406,国电南瑞,600406
sh.600408,安泰集团,600408
sh.600409,三友化工,600409
sh.600410,华胜天成,600410
sh.600415,小商品城,600415
sh.600416,湘电股份,600416
sh.600418,江淮汽车,600418
sh.600419,天润乳业,600419
sh.600420,国药现代,600420
sh.600421,*ST华嵘,600421
sh.600422,昆药集团,600422
sh.600423,*ST柳化,600423
sh.600425,青松建化,600425
sh.600426,华鲁恒升,600426
sh.600428,中远海特,600428
sh.600429,三元股份,600429
sh.600432,退市吉恩,600432
sh.600433,冠豪高新,600433
sh.600435,北方导航,600435
sh.600436,片仔癀,600436
sh.600438,通威股份,600438
sh.600439,瑞贝卡,600439
sh.600444,国机通用,600444
sh.600446,金证股份,600446
sh.600448,华纺股份,600448
sh.600449,宁夏建材,600449
sh.600452,涪陵电力,600452
sh.600455,博通股份,600455
sh.600456,宝钛股份,600456
sh.600458,时代新材,600458
sh.600459,贵研铂业,600459
sh.600460,士兰微,600460
sh.600461,洪城环境,600461
sh.600462,退市九有,600462
sh.600463,空港股份,600463
sh.600466,*ST蓝光,600466
sh.600467,好当家,600467
sh.600468,百利电气,600468
sh.600469,风神股份,600469
sh.600470,六国化工,600470
sh.600472,包头铝业,600472
sh.600475,华光环能,600475
sh.600476,*ST湘邮,600476
sh.600477,杭萧钢构,600477
sh.600478,科力远,600478
sh.600479,千金药业,600479
sh.600480,凌云股份,600480
sh.600481,双良节能,600481
sh.600482,中国动力,600482
sh.600483,福能股份,600483
sh.600485,*ST信威,600485
sh.600486,扬农化工,600486
sh.600487,亨通光电,600487
sh.600488,津药药业,600488
sh.600489,中金黄金,600489
sh.600490,鹏欣资源,600490
sh.600491,ST龙元,600491
sh.600493,凤竹纺织,600493
sh.600495,晋西车轴,600495
sh.600496,精工钢构,600496
sh.600497,驰宏锌锗,600497
sh.600498,烽火通信,600498
sh.600499,科达制造,600499
sh.600500,中化国际,600500
