date,portfolio_value,positions,cash,invested_pct,equity,daily_pnl,daily_return_pct,peak,drawdown_pct
2024-02-26,101.83,1,80.0,21.4,101.83,1.8299999999999983,1.8299999999999983,101.83,0.0
2024-02-27,101.55,0,101.55,0.0,101.55,-0.28000000000000114,-0.27496808406167256,101.83,-0.27496808406167256
2024-05-22,102.57,1,81.24,20.8,102.57,1.019999999999996,1.0044313146233343,102.57,0.0
2024-05-23,102.17,0,102.17,0.0,102.17,-0.3999999999999915,-0.3899775762893551,102.57,-0.3899775762893551
2024-06-18,102.81,1,81.74,20.5,102.81,0.6400000000000006,0.6264069687775282,102.81,0.0
2024-06-19,102.96,0,102.96,0.0,102.96,0.14999999999999147,0.14590020426027767,102.96,0.0
2024-06-24,101.89,1,82.36,19.2,101.89,-1.0699999999999932,-1.0392385392385326,102.96,-1.0392385392385326
2024-06-25,98.46,2,60.74,38.3,98.46,-3.430000000000007,-3.366375502993431,102.96,-4.370629370629371
2024-06-26,97.49,1,77.54,20.5,97.49,-0.9699999999999989,-0.9851716433069255,102.96,-5.312742812742812
2024-06-27,96.19,0,96.19,0.0,96.19,-1.2999999999999972,-1.3334700994973814,102.96,-6.575369075369072
2024-07-02,95.83,1,76.95,19.7,95.83,-0.35999999999999943,-0.3742592785112792,102.96,-6.925019425019421
2024-07-03,93.87,0,93.87,0.0,93.87,-1.9599999999999937,-2.045288531775012,102.96,-8.828671328671318
2024-07-04,93.43,2,55.61,40.5,93.43,-0.4399999999999977,-0.4687333546393925,102.96,-9.256021756021743
2024-07-05,94.7,0,94.7,0.0,94.7,1.269999999999996,1.3593064326233502,102.96,-8.022533022533015
2024-07-08,95.41,0,95.41,0.0,95.41,0.7099999999999937,0.749736008447723,102.96,-7.332944832944831
2024-07-09,95.48,1,76.33,20.1,95.48,0.07000000000000739,0.07336757153338999,102.96,-7.264957264957256
2024-07-10,95.06,0,95.06,0.0,95.06,-0.4200000000000017,-0.43988269794721585,102.96,-7.672882672882666
2024-07-18,97.75,1,76.04,22.2,97.75,2.6899999999999977,2.82979171049863,102.96,-5.060217560217555
2024-07-19,98.6,0,98.6,0.0,98.6,0.8499999999999943,0.8695652173912984,102.96,-4.234654234654235
2024-07-23,100.24,3,39.44,60.7,100.24,1.6400000000000006,1.6632860040567958,102.96,-2.641802641802641
2024-07-24,99.27,0,99.27,0.0,99.27,-0.9699999999999989,-0.967677573822824,102.96,-3.583916083916082
2024-07-25,99.27,0,99.27,0.0,99.27,0.0,0.0,102.96,-3.583916083916082
